policy,astar,lbm,mcf,milc,omnetpp,average
SHiP-DIP (Signature-based Dynamic Insertion Policy),0.3341037789337907,0.10613948928745134,0.3735984139993975,0.022187303127511823,0.08981264427464523,0.1851683259245593
ARD-RRIP,0.3503788147245177,0.2471106114886667,0.30636156023201727,0.010619347270396895,0.0023024294806411015,0.18335455263924796
SigDIP-RRIP,0.20866082439155764,0.10323148402236963,0.4076006509359481,0.09320803493196811,0.01513859147872664,0.16556791715211402
SHiP-Stream,0.09762629519908149,0.20182552134096143,0.21449842486092752,0.17281693302533727,0.11056433381648563,0.15946630164855868
Predictive Insertion with Bimodal PC Table (PIBT),0.25071935817658647,0.07764675156559606,0.44683431067685037,0.009520481980057496,0.0011512147403205508,0.15717442342788218
Multiperspective,0.03709567109384967,0.011593643367720617,0.515161598323247,0.00026430697263517673,0.008547620325799737,0.11453256801665043
PDIP (PC-based Dynamic Insertion Policy),0.049734936001927736,0.06537154969293806,0.21820001919448992,0.015742557767366418,0.009746553811833055,0.07175912329371104
Set-Locality Aware RRIP (SLA-RRIP),0.04537626330635445,0.0587531723306529,0.21521451608835637,0.009520481980057496,0.0011512147403205508,0.06600312968914836
TinyLRU‐Filtered SRRIP (TinySRRIP),0.045168960580589376,0.05879291517552144,0.2143120841923568,0.009520481980057496,0.0011512147403205508,0.06578913133376914
PC-SHiP,0.04512466512636607,0.0587531723306529,0.2143120841923568,0.009520481980057496,0.0011512147403205508,0.06577232367395076
